szalka,day,concentration,siewki,pr_siewek,kalusy,pr_kalusow
1,7,kontrola,17,85,0,0
2,7,kontrola,13,65,0,0
3,7,kontrola,13,65,0,0
4,7,alfa,11,55,0,0
5,7,alfa,12,60,0,0
6,7,alfa,12,60,0,0
7,7,beta,13,65,0,0
8,7,beta,16,80,0,0
9,7,beta,13,65,0,0
10,7,gamma,12,60,0,0
11,7,gamma,14,70,0,0
12,7,gamma,13,65,0,0
13,7,delta,9,45,0,0
14,7,delta,11,55,0,0
15,7,delta,11,55,0,0
16,7,epsilon,10,50,0,0
17,7,epsilon,8,40,0,0
18,7,epsilon,12,60,0,0
19,7,dzeta,12,60,0,0
20,7,dzeta,10,50,0,0
21,7,dzeta,14,70,0,0
1,14,kontrola,18,90,0,0
2,14,kontrola,15,75,0,0
3,14,kontrola,13,65,0,0
4,14,alfa,12,60,0,0
5,14,alfa,14,70,0,0
6,14,alfa,15,75,0,0
7,14,beta,15,75,0,0
8,14,beta,16,80,0,0
9,14,beta,14,70,0,0
10,14,gamma,13,65,0,0
11,14,gamma,16,80,0,0
12,14,gamma,16,80,0,0
13,14,delta,9,45,0,0
14,14,delta,12,60,0,0
15,14,delta,11,55,0,0
16,14,epsilon,11,55,0,0
17,14,epsilon,9,45,0,0
18,14,epsilon,12,60,0,0
19,14,dzeta,13,65,0,0
20,14,dzeta,12,60,0,0
21,14,dzeta,14,70,0,0
1,21,kontrola,18,90,0,0
2,21,kontrola,15,75,0,0
3,21,kontrola,14,70,0,0
4,21,alfa,12,60,0,0
5,21,alfa,14,70,0,0
6,21,alfa,15,75,0,0
7,21,beta,15,75,0,0
8,21,beta,16,80,0,0
9,21,beta,14,70,0,0
10,21,gamma,13,65,0,0
11,21,gamma,16,80,0,0
12,21,gamma,16,80,0,0
13,21,delta,9,45,0,0
14,21,delta,12,60,0,0
15,21,delta,12,60,0,0
16,21,epsilon,11,55,0,0
17,21,epsilon,10,50,0,0
18,21,epsilon,13,65,0,0
19,21,dzeta,13,65,0,0
20,21,dzeta,12,60,0,0
21,21,dzeta,14,70,0,0
1,28,kontrola,18,90,0,0
2,28,kontrola,15,75,0,0
3,28,kontrola,NA,NA,NA,NA
4,28,alfa,12,60,0,0
5,28,alfa,14,70,0,0
6,28,alfa,17,85,0,0
7,28,beta,15,75,0,0
8,28,beta,16,80,0,0
9,28,beta,14,70,0,0
10,28,gamma,14,70,3,21.4285714285714
11,28,gamma,17,85,2,11.7647058823529
12,28,gamma,16,80,3,18.75
13,28,delta,11,55,8,72.7272727272727
14,28,delta,13,65,10,76.9230769230769
15,28,delta,12,60,9,75
16,28,epsilon,11,55,8,72.7272727272727
17,28,epsilon,10,50,5,50
18,28,epsilon,13,65,7,53.8461538461539
19,28,dzeta,13,65,6,46.1538461538462
20,28,dzeta,13,65,6,46.1538461538462
21,28,dzeta,14,70,4,28.5714285714286
1,33,kontrola,18,90,0,0
2,33,kontrola,15,75,0,0
3,33,kontrola,NA,NA,NA,NA
4,33,alfa,12,60,0,0
5,33,alfa,14,70,0,0
6,33,alfa,17,85,3,17.6470588235294
7,33,beta,15,75,0,0
8,33,beta,16,80,0,0
9,33,beta,14,70,0,0
10,33,gamma,14,70,4,28.5714285714286
11,33,gamma,17,85,4,23.5294117647059
12,33,gamma,16,80,8,50
13,33,delta,11,55,9,81.8181818181818
14,33,delta,13,65,10,76.9230769230769
15,33,delta,12,60,10,83.3333333333333
16,33,epsilon,11,55,9,81.8181818181818
17,33,epsilon,10,50,7,70
18,33,epsilon,13,65,9,69.2307692307692
19,33,dzeta,13,65,7,53.8461538461539
20,33,dzeta,13,65,7,53.8461538461539
21,33,dzeta,14,70,6,42.8571428571429
1,39,kontrola,18,90,0,0
2,39,kontrola,15,75,0,0
3,39,kontrola,NA,NA,NA,NA
4,39,alfa,NA,NA,NA,NA
5,39,alfa,14,70,1,"7,14285714285714"
6,39,alfa,17,85,4,"23,5294117647059"
7,39,beta,NA,NA,NA,NA
8,39,beta,16,80,0,0
9,39,beta,14,70,1,"7,14285714285714"
10,39,gamma,14,70,4,"28,5714285714286"
11,39,gamma,17,85,5,"29,4117647058824"
12,39,gamma,16,80,8,50
13,39,delta,11,55,9,"81,8181818181818"
14,39,delta,13,65,10,"76,9230769230769"
15,39,delta,12,60,11,"91,6666666666667"
16,39,epsilon,11,55,10,"90,9090909090909"
17,39,epsilon,10,50,7,70
18,39,epsilon,13,65,9,"69,2307692307692"
19,39,dzeta,13,65,8,"61,5384615384615"
20,39,dzeta,13,65,7,"53,8461538461539"
21,39,dzeta,14,70,7,50
1,41,kontrola,18,90,0,0
2,41,kontrola,15,75,0,0
3,41,kontrola,NA,NA,NA,NA
4,41,alfa,NA,NA,NA,NA
5,41,alfa,14,70,2,"14,2857142857143"
6,41,alfa,17,85,4,"23,5294117647059"
7,41,beta,NA,NA,NA,NA
8,41,beta,16,80,0,0
9,41,beta,14,70,1,"7,14285714285714"
10,41,gamma,14,70,5,"35,7142857142857"
11,41,gamma,17,85,7,"41,1764705882353"
12,41,gamma,16,80,8,50
13,41,delta,11,55,9,"81,8181818181818"
14,41,delta,13,65,10,"76,9230769230769"
15,41,delta,12,60,11,"91,6666666666667"
16,41,epsilon,11,55,10,"90,9090909090909"
17,41,epsilon,10,50,7,70
18,41,epsilon,13,65,9,"69,2307692307692"
19,41,dzeta,13,65,8,"61,5384615384615"
20,41,dzeta,13,65,7,"53,8461538461539"
21,41,dzeta,14,70,8,"57,1428571428571"
