szalka,concentration,yield
1,kontrola,0.84
1,kontrola,0.84
1,kontrola,0.85
1,kontrola,0.85
1,kontrola,0.84
1,kontrola,0.84
1,kontrola,0.84
1,kontrola,0.84
1,kontrola,0.84
1,kontrola,0.84
1,kontrola,0.84
1,kontrola,0.83
1,kontrola,0.83
2,kontrola,0.82
2,kontrola,0.82
2,kontrola,0.84
2,kontrola,0.82
2,kontrola,0.83
2,kontrola,0.82
2,kontrola,0.84
2,kontrola,0.83
2,kontrola,0.84
2,kontrola,0.81
2,kontrola,0.81
2,kontrola,0.8
2,kontrola,0.82
2,kontrola,0.8
2,kontrola,0.79
2,kontrola,0.82
2,kontrola,0.78
2,kontrola,0.83
2,kontrola,0.81
2,kontrola,0.82
2,kontrola,0.79
2,kontrola,0.85
2,kontrola,0.84
5,alfa,0.78
5,alfa,0.76
5,alfa,0.8
5,alfa,0.77
5,alfa,0.8
5,alfa,0.82
5,alfa,0.81
5,alfa,0.75
5,alfa,0.79
5,alfa,0.78
5,alfa,0.74
5,alfa,0.78
5,alfa,0.76
5,alfa,0.81
5,alfa,0.82
6,alfa,0.72
6,alfa,0.75
6,alfa,0.75
6,alfa,0.75
6,alfa,0.72
6,alfa,0.78
6,alfa,0.79
6,alfa,0.73
6,alfa,0.75
6,alfa,0.74
6,alfa,0.72
6,alfa,0.73
6,alfa,0.74
6,alfa,0.76
6,alfa,0.56
6,alfa,0.68
8,beta,0.85
8,beta,0.85
8,beta,0.85
8,beta,0.84
8,beta,0.85
8,beta,0.85
8,beta,0.85
8,beta,0.84
8,beta,0.84
8,beta,0.84
8,beta,0.84
8,beta,0.85
8,beta,0.85
8,beta,0.84
8,beta,0.85
8,beta,0.84
8,beta,0.84
8,beta,0.85
8,beta,0.84
8,beta,0.84
9,beta,0.85
9,beta,0.85
9,beta,0.84
9,beta,0.85
9,beta,0.84
9,beta,0.85
9,beta,0.85
9,beta,0.85
9,beta,0.84
9,beta,0.84
9,beta,0.84
9,beta,0.85
9,beta,0.84
9,beta,0.85
9,beta,0.85
9,beta,0.85
9,beta,0.84
9,beta,0.85
10,gamma,0.81
10,gamma,0.82
10,gamma,0.73
10,gamma,0.82
10,gamma,0.84
10,gamma,0.79
10,gamma,0.78
10,gamma,0.81
10,gamma,0.71
10,gamma,0.81
10,gamma,0.84
10,gamma,0.76
10,gamma,0.82
10,gamma,0.84
11,gamma,0.79
11,gamma,0.82
11,gamma,0.82
11,gamma,0.82
11,gamma,0.8
11,gamma,0.81
11,gamma,0.81
11,gamma,0.82
11,gamma,0.75
11,gamma,0.82
11,gamma,0.77
11,gamma,0.73
11,gamma,0.79
11,gamma,0.82
11,gamma,0.83
11,gamma,0.81
11,gamma,0.78
11,gamma,0.77
11,gamma,0.76
11,gamma,0.82
12,gamma,0.78
12,gamma,0.76
12,gamma,0.79
12,gamma,0.7
12,gamma,0.8
12,gamma,0.78
12,gamma,0.83
12,gamma,0.8
12,gamma,0.79
13,delta,0.8
13,delta,0.84
13,delta,0.86
13,delta,0.84
13,delta,0.82
13,delta,0.85
13,delta,0.84
13,delta,0.58
13,delta,0.82
13,delta,0.86
13,delta,0.83
13,delta,0.81
14,delta,0.8
14,delta,0.84
14,delta,0.8
14,delta,0.73
14,delta,0.8
14,delta,0.86
14,delta,0.85
14,delta,0.84
14,delta,0.87
15,delta,0.79
15,delta,0.79
15,delta,0.8
15,delta,0.78
15,delta,0.83
15,delta,0.83
15,delta,0.8
15,delta,0.78
15,delta,0.83
15,delta,0.8
15,delta,0.81
15,delta,0.85
16,epsilon,0.82
16,epsilon,0.81
16,epsilon,0.82
16,epsilon,0.84
16,epsilon,0.82
16,epsilon,0.81
16,epsilon,0.82
16,epsilon,0.81
16,epsilon,0.83
16,epsilon,0.78
16,epsilon,0.81
17,epsilon,0.81
17,epsilon,0.82
17,epsilon,0.82
17,epsilon,0.82
17,epsilon,0.84
17,epsilon,0.8
17,epsilon,0.85
17,epsilon,0.75
17,epsilon,0.79
17,epsilon,0.75
18,epsilon,0.78
18,epsilon,0.83
18,epsilon,0.8
18,epsilon,0.8
18,epsilon,0.83
18,epsilon,0.67
18,epsilon,0.82
18,epsilon,0.82
18,epsilon,0.8
18,epsilon,0.82
19,dzeta,0.8
19,dzeta,0.8
19,dzeta,0.81
19,dzeta,0.77
19,dzeta,0.81
19,dzeta,0.8
19,dzeta,0.79
19,dzeta,0.82
19,dzeta,0.81
19,dzeta,0.78
19,dzeta,0.81
19,dzeta,0.79
19,dzeta,0.83
19,dzeta,0.8
19,dzeta,0.82
20,dzeta,0.79
20,dzeta,0.79
20,dzeta,0.84
20,dzeta,0.82
20,dzeta,0.8
20,dzeta,0.78
20,dzeta,0.73
20,dzeta,0.8
20,dzeta,0.81
20,dzeta,0.82
20,dzeta,0.84
20,dzeta,0.8
20,dzeta,0.82
21,dzeta,0.81
21,dzeta,0.82
21,dzeta,0.79
21,dzeta,0.84
21,dzeta,0.84
21,dzeta,0.85
21,dzeta,0.82
21,dzeta,0.83
21,dzeta,0.84
21,dzeta,0.84
21,dzeta,0.8
21,dzeta,0.81
21,dzeta,0.84
21,dzeta,0.81
21,dzeta,0.78
